State,Geography,county_fips,Race,Religion,Sexual_Orientation,Disability,Gender,Gender_Identity,Gender_both,Total,Total crimes,% hate crime,AvgYears,Education Quintile
Mississippi,"Stone County, Mississippi",28131,1,0,0,0,0,0,0,1,306,0.33%,14.90011751,Lowest
Oklahoma,"Caddo County, Oklahoma",40015,1,0,0,0,0,0,0,1,596,0.17%,14.90217224,Lowest
California,"Yuba County, California",6115,1,0,1,0,0,0,0,3,2431,0.12%,14.90295912,Lowest
Michigan,"Osceola County, Michigan",26133,1,0,0,0,0,0,0,1,335,0.30%,14.90344569,Lowest
New Jersey,"Passaic County, New Jersey",34031,3,0,0,0,0,0,0,3,11239,0.03%,14.90798951,Lowest
Missouri,"Lawrence County, Missouri",29109,1,0,0,0,0,0,0,1,1112,0.09%,14.9091408,Lowest
Texas,"Johnson County, Texas",48251,1,0,0,0,0,0,0,1,3126,0.03%,14.91291001,Lowest
Kentucky,"Bourbon County, Kentucky",21017,0,1,0,0,0,0,0,1,381,0.26%,14.91764536,Lowest
Texas,"Lamar County, Texas",48277,0,1,0,0,0,0,0,1,1673,0.06%,14.92071352,Lowest
Virginia,"Alleghany County, Virginia",51005,1,0,0,0,0,0,0,1,207,0.48%,14.92192833,Lowest
Ohio,"Darke County, Ohio",39037,1,0,0,0,0,0,0,1,691,0.14%,14.92261536,Lowest
Virginia,"Manassas city, Virginia",51683,1,0,0,0,0,0,0,1,866,0.12%,14.9229127,Lowest
Oregon,"Hood River County, Oregon",41027,0,2,0,0,0,0,0,2,430,0.47%,14.93192488,Lowest
Michigan,"Sanilac County, Michigan",26151,1,0,0,0,0,0,0,1,519,0.19%,14.93585627,Lowest
Tennessee,"Sevier County, Tennessee",47155,3,1,0,0,0,0,0,4,3077,0.13%,14.93849593,Lowest
Florida,"Miami-Dade County, Florida",12086,2,7,14,1,0,0,0,38,122865,0.03%,14.94669432,Lowest
Tennessee,"Gibson County, Tennessee",47053,2,0,0,0,0,0,0,2,1568,0.13%,14.94920852,Lowest
Ohio,"Wyandot County, Ohio",39175,1,0,0,0,0,0,0,1,273,0.37%,14.95089199,Lowest
Michigan,"Branch County, Michigan",26023,1,0,0,0,0,0,0,1,715,0.14%,14.95341605,Lowest
Oklahoma,"Lincoln County, Oklahoma",40081,1,0,0,0,0,0,0,1,635,0.16%,14.9568686,Lowest
West Virginia,"Raleigh County, West Virginia",54081,1,0,0,0,0,0,0,1,3167,0.03%,14.958159,Lowest
Michigan,"Montcalm County, Michigan",26117,1,0,1,0,0,0,0,3,1194,0.25%,14.96555787,Lowest
Texas,"Tom Green County, Texas",48451,0,0,1,0,0,0,0,2,4603,0.04%,14.96645852,Lowest
Virginia,"Shenandoah County, Virginia",51171,2,0,0,0,0,0,0,2,602,0.33%,14.96689794,Lowest
Wisconsin,"Rusk County, Wisconsin",55107,1,0,0,0,0,0,0,1,195,0.51%,14.9687652,Lowest
Colorado,"Adams County, Colorado",8001,1,0,0,0,0,0,0,1,15453,0.01%,14.96901245,Lowest
Ohio,"Columbiana County, Ohio",39029,2,0,0,4,0,0,0,6,734,0.82%,14.97320847,Lowest
Oklahoma,"Craig County, Oklahoma",40035,0,0,0,1,0,0,0,1,222,0.45%,14.97340218,Lowest
Tennessee,"Tipton County, Tennessee",47167,0,1,0,1,0,0,0,2,2003,0.10%,14.97440544,Lowest
Michigan,"Huron County, Michigan",26063,1,0,0,0,0,0,0,1,376,0.27%,14.98060812,Lowest
Michigan,"Luce County, Michigan",26095,0,0,0,1,0,0,0,1,136,0.74%,14.98291294,Second
Kentucky,"Bullitt County, Kentucky",21029,7,0,0,0,0,0,0,7,1186,0.59%,14.99419853,Second
Texas,"Harris County, Texas",48201,5,2,2,0,0,2,2,11,200021,0.01%,14.99849674,Second
Ohio,"Williams County, Ohio",39171,1,0,0,0,0,0,0,1,457,0.22%,15.0049284,Second
North Carolina,"Rowan County, North Carolina",37159,3,0,0,0,0,0,0,3,3891,0.08%,15.00824808,Second
Ohio,"Muskingum County, Ohio",39119,1,0,2,0,0,0,0,5,2792,0.18%,15.00910546,Second
South Dakota,"Jerauld County, South Dakota",46073,0,0,0,0,0,1,1,0,2,0.00%,15.01428571,Second
Tennessee,"Franklin County, Tennessee",47051,0,0,0,1,0,0,0,1,806,0.12%,15.01470745,Second
Ohio,"Logan County, Ohio",39091,1,0,1,0,0,0,0,3,1116,0.27%,15.01531418,Second
Kentucky,"Marshall County, Kentucky",21157,0,1,1,0,0,0,0,3,456,0.66%,15.01554427,Second
Florida,"Osceola County, Florida",12097,1,0,0,0,0,0,0,1,9492,0.01%,15.01679668,Second
Idaho,"Elmore County, Idaho",16039,1,0,0,0,0,0,0,1,371,0.27%,15.01729161,Second
Idaho,"Benewah County, Idaho",16009,1,0,0,0,0,0,0,1,141,0.71%,15.01865496,Second
Ohio,"Madison County, Ohio",39097,0,0,0,1,0,0,0,1,799,0.13%,15.02099131,Second
Michigan,"Tuscola County, Michigan",26157,2,1,1,0,1,0,1,6,634,0.95%,15.02394817,Second
California,"Lake County, California",6033,2,0,0,0,0,0,0,2,2139,0.09%,15.03085111,Second
Ohio,"Pickaway County, Ohio",39129,1,0,0,0,0,0,0,1,1501,0.07%,15.03468001,Second
Virginia,"Louisa County, Virginia",51109,1,0,1,0,0,0,0,3,700,0.43%,15.03728443,Second
Michigan,"Gratiot County, Michigan",26057,2,0,0,0,0,0,0,2,657,0.30%,15.04044586,Second
Kentucky,"Clark County, Kentucky",21049,3,0,0,0,0,0,0,3,1160,0.26%,15.04183179,Second
Oregon,"Jefferson County, Oregon",41031,0,0,1,0,0,0,0,2,621,0.32%,15.04429245,Second
Michigan,"Oceana County, Michigan",26127,2,0,1,0,0,0,0,4,566,0.71%,15.04568927,Second
Idaho,"Payette County, Idaho",16075,0,1,0,0,0,0,0,1,358,0.28%,15.04821067,Second
North Dakota,"Hettinger County, North Dakota",38041,1,0,0,0,0,0,0,1,41,2.44%,15.04920554,Second
Ohio,"Champaign County, Ohio",39021,10,0,0,0,0,0,0,10,759,1.32%,15.05017854,Second
Oklahoma,"Delaware County, Oklahoma",40041,2,0,0,1,0,0,0,3,466,0.64%,15.0506726,Second
West Virginia,"Marshall County, West Virginia",54051,1,0,0,0,0,0,0,1,571,0.18%,15.05518423,Second
Texas,"Hutchinson County, Texas",48233,1,0,0,0,0,0,0,1,707,0.14%,15.05629326,Second
Tennessee,"Roane County, Tennessee",47145,0,0,1,0,0,0,0,2,1421,0.14%,15.05979929,Second
North Carolina,"Gaston County, North Carolina",37071,3,0,0,0,0,0,0,3,6609,0.05%,15.06173598,Second
Tennessee,"Bradley County, Tennessee",47011,6,0,1,0,0,0,0,8,4318,0.19%,15.07270495,Second
Ohio,"Richland County, Ohio",39139,2,2,1,0,0,0,0,6,5729,0.10%,15.08028854,Second
Massachusetts,"Bristol County, Massachusetts",25005,4,0,1,0,1,0,1,7,14496,0.05%,15.08407654,Second
Ohio,"Trumbull County, Ohio",39155,3,0,0,1,0,0,0,4,5160,0.08%,15.08676135,Second
Tennessee,"Robertson County, Tennessee",47147,1,0,1,0,0,0,0,3,1777,0.17%,15.08773544,Second
Michigan,"Ionia County, Michigan",26067,1,0,0,0,0,0,0,1,1007,0.10%,15.08806674,Second
Texas,"Gregg County, Texas",48183,2,0,0,1,0,0,0,3,5349,0.06%,15.08838435,Second
Florida,"St. Lucie County, Florida",12111,0,1,0,0,0,0,0,1,7045,0.01%,15.09305155,Second
Ohio,"Wayne County, Ohio",39169,1,0,0,0,0,0,0,1,1963,0.05%,15.09562322,Second
Utah,"Duchesne County, Utah",49013,0,0,1,0,0,0,0,2,628,0.32%,15.09679392,Second
Michigan,"Hillsdale County, Michigan",26059,1,0,0,0,0,0,0,1,577,0.17%,15.09845622,Second
Ohio,"Clinton County, Ohio",39027,1,1,0,0,0,0,0,2,839,0.24%,15.10243938,Second
West Virginia,"Hancock County, West Virginia",54029,2,0,0,0,0,0,0,2,337,0.59%,15.10313901,Second
South Carolina,"Sumter County, South Carolina",45085,0,0,1,0,0,0,0,2,4816,0.04%,15.10663903,Second
Ohio,"Ashland County, Ohio",39005,1,0,0,0,0,0,0,1,845,0.12%,15.11060653,Second
North Carolina,"Franklin County, North Carolina",37069,4,0,0,0,0,0,0,4,1191,0.34%,15.11244496,Second
Indiana,"Dubois County, Indiana",18037,0,0,0,0,1,0,1,1,349,0.29%,15.11287725,Second
North Carolina,"Catawba County, North Carolina",37035,1,0,0,0,0,0,0,1,4841,0.02%,15.11361527,Second
Oklahoma,"Okmulgee County, Oklahoma",40111,1,0,0,0,0,0,0,1,964,0.10%,15.1169232,Second
Arizona,"Pinal County, Arizona",4021,2,0,0,0,0,0,0,2,8319,0.02%,15.12228704,Second
California,"Santa Barbara County, California",6083,1,0,1,0,0,0,0,3,10382,0.03%,15.12588631,Second
Kentucky,"Christian County, Kentucky",21047,6,0,0,0,0,0,0,6,1873,0.32%,15.12801661,Second
South Carolina,"Anderson County, South Carolina",45007,1,0,0,0,0,0,0,1,10793,0.01%,15.12845752,Second
Oregon,"Marion County, Oregon",41047,4,2,3,0,0,0,0,12,11429,0.10%,15.13386373,Second
Pennsylvania,"Berks County, Pennsylvania",42011,2,0,0,0,0,0,0,2,8699,0.02%,15.13630691,Second
Kentucky,"Henderson County, Kentucky",21101,2,0,0,0,0,0,0,2,1344,0.15%,15.13805293,Second
Pennsylvania,"Philadelphia County, Pennsylvania",42101,7,4,7,0,0,0,0,25,68761,0.04%,15.13840012,Second
Ohio,"Defiance County, Ohio",39039,1,0,0,0,0,0,0,1,645,0.16%,15.14377342,Second
Ohio,"Jefferson County, Ohio",39081,1,0,0,0,0,0,0,1,240,0.42%,15.14440494,Second
Louisiana,"Calcasieu Parish, Louisiana",22019,1,0,0,0,0,0,0,1,10324,0.01%,15.14493573,Second
Virginia,"Warren County, Virginia",51187,1,0,2,0,0,0,0,5,811,0.62%,15.14721137,Second
Virginia,"Franklin County, Virginia",51067,1,1,0,0,0,0,0,2,736,0.27%,15.14938632,Second
Rhode Island,"Providence County, Rhode Island",44007,1,2,1,0,0,0,0,5,17406,0.03%,15.15027097,Second
Pennsylvania,"Lancaster County, Pennsylvania",42071,1,0,0,0,0,0,0,1,9261,0.01%,15.15101144,Second
Nevada,"Clark County, Nevada",32003,12,2,1,0,0,0,0,16,72994,0.02%,15.1533226,Second
Washington,"Lewis County, Washington",53041,5,1,0,0,0,0,0,6,2135,0.28%,15.15336451,Second
Michigan,"Wexford County, Michigan",26165,1,0,0,0,0,0,0,1,908,0.11%,15.15372732,Second
Indiana,"Madison County, Indiana",18095,0,0,1,0,0,0,0,2,3375,0.06%,15.15542055,Second
Illinois,"Whiteside County, Illinois",17195,0,0,1,0,0,0,0,2,986,0.20%,15.15853965,Second
Oregon,"Crook County, Oregon",41013,1,0,1,0,0,0,0,3,536,0.56%,15.16058946,Second
Illinois,"Kankakee County, Illinois",17091,3,0,0,0,0,0,0,3,3000,0.10%,15.16475963,Second
Michigan,"Van Buren County, Michigan",26159,3,0,1,0,0,0,0,5,1471,0.34%,15.16649968,Second
Indiana,"LaPorte County, Indiana",18091,2,0,1,0,0,0,0,4,2783,0.14%,15.16694569,Second
Kentucky,"Nelson County, Kentucky",21179,1,0,0,0,0,0,0,1,596,0.17%,15.16796325,Second
Tennessee,"Sullivan County, Tennessee",47163,3,0,1,0,0,0,0,5,5451,0.09%,15.1712313,Second
Ohio,"Mercer County, Ohio",39107,0,1,0,0,0,0,0,1,625,0.16%,15.17281947,Second
Tennessee,"Fayette County, Tennessee",47047,2,0,0,0,0,0,0,2,681,0.29%,15.17423758,Second
Oklahoma,"Woodward County, Oklahoma",40153,1,0,1,0,0,0,0,3,583,0.51%,15.17426215,Second
Missouri,"Buchanan County, Missouri",29021,0,0,1,0,0,0,0,2,4962,0.04%,15.1761471,Second
Illinois,"Marion County, Illinois",17121,2,0,0,0,0,0,0,2,1074,0.19%,15.17681181,Second
Alabama,"Lauderdale County, Alabama",1077,1,0,0,0,0,0,0,1,2270,0.04%,15.18369545,Second
Minnesota,"Morrison County, Minnesota",27097,1,0,0,0,0,0,0,1,411,0.24%,15.18726575,Second
New York,"Chenango County, New York",36017,2,0,0,0,0,0,0,2,941,0.21%,15.19269754,Second
Michigan,"Menominee County, Michigan",26109,3,0,0,0,0,0,0,3,448,0.67%,15.19726201,Second
South Carolina,"Florence County, South Carolina",45041,0,0,1,0,0,0,0,2,6488,0.03%,15.19819371,Second
Texas,"Bexar County, Texas",48029,7,2,1,1,0,0,0,12,97028,0.01%,15.19968166,Second
Illinois,"Warren County, Illinois",17187,1,0,0,0,0,0,0,1,296,0.34%,15.20093458,Second
Ohio,"Henry County, Ohio",39069,2,0,2,0,0,0,0,6,505,1.19%,15.2029168,Second
Ohio,"Clark County, Ohio",39023,0,1,1,0,0,0,0,3,6162,0.05%,15.20596848,Second
Ohio,"Shelby County, Ohio",39149,2,0,1,0,0,0,0,4,1172,0.34%,15.20603077,Second
New York,"Oswego County, New York",36075,1,0,0,0,0,0,0,1,2640,0.04%,15.208861,Second
Kansas,"Linn County, Kansas",20107,1,0,0,0,0,0,0,1,115,0.87%,15.20966054,Second
Kentucky,"Anderson County, Kentucky",21005,1,0,0,0,0,0,0,1,166,0.60%,15.21462926,Second
Kentucky,"Shelby County, Kentucky",21211,3,1,0,0,0,0,0,4,847,0.47%,15.21540083,Second
Louisiana,"St. Charles Parish, Louisiana",22089,6,0,0,0,0,0,0,6,1202,0.50%,15.21558232,Second
Washington,"Grays Harbor County, Washington",53027,2,0,1,0,0,0,0,4,2206,0.18%,15.21560211,Second
Indiana,"Lake County, Indiana",18089,0,1,0,0,0,0,0,1,17274,0.01%,15.21566344,Second
Colorado,"Logan County, Colorado",8075,1,0,0,0,0,0,0,1,604,0.17%,15.21887564,Second
Colorado,"Fremont County, Colorado",8043,1,0,0,0,0,0,0,1,907,0.11%,15.22073275,Second
Oklahoma,"Kingfisher County, Oklahoma",40073,1,0,0,0,0,0,0,1,215,0.47%,15.2214243,Second
Texas,"Smith County, Texas",48423,2,0,1,1,0,0,0,5,7096,0.07%,15.22236516,Second
Texas,"Wichita County, Texas",48485,1,1,0,0,0,0,0,2,5317,0.04%,15.22365512,Second
Pennsylvania,"Cambria County, Pennsylvania",42021,1,0,0,0,0,0,0,1,2707,0.04%,15.23169317,Second
New Jersey,"Atlantic County, New Jersey",34001,3,4,0,0,0,0,0,7,9184,0.08%,15.23684126,Second
Tennessee,"Maury County, Tennessee",47119,2,0,0,0,0,0,0,2,2321,0.09%,15.23763538,Second
West Virginia,"Brooke County, West Virginia",54009,1,0,0,0,0,0,0,1,302,0.33%,15.2413179,Second
Idaho,"Twin Falls County, Idaho",16083,2,0,0,0,0,0,0,2,1994,0.10%,15.24372202,Second
Minnesota,"Mille Lacs County, Minnesota",27095,1,0,0,0,0,0,0,1,841,0.12%,15.24519149,Second
Virginia,"Washington County, Virginia",51191,2,0,0,0,0,0,0,2,1101,0.18%,15.24693965,Second
West Virginia,"Berkeley County, West Virginia",54003,1,0,0,0,0,0,0,1,2062,0.05%,15.24959947,Second
Washington,"Cowlitz County, Washington",53015,7,3,2,0,0,0,0,14,3982,0.35%,15.25009172,Second
