County,Education Quintile,Average Years of Education,Total Crime,Hate Crime Index
"Kern County, California",Lowest,14.07995698,32748,0.135
"San Joaquin County, California",Lowest,14.4341185,30438,0.131
"Scioto County, Ohio",Lowest,14.86378525,2871,0.169
"Valencia County, New Mexico",Lowest,14.88299204,3199,0.151
"Passaic County, New Jersey",Lowest,14.90798951,11239,0.133
"Johnson County, Texas",Lowest,14.91291001,3126,0.158
"Miami-Dade County, Florida",Lowest,14.94669432,122865,0.147
"Raleigh County, West Virginia",Lowest,14.958159,3167,0.154
"Santa Barbara County, California",Second,15.12588631,10382,0.142
"Providence County, Rhode Island",Second,15.15027097,17406,0.14
"Florence County, South Carolina",Second,15.19819371,6488,0.146
"Oneida County, New York",Third,15.39428307,5867,0.167
"Rockdale County, Georgia",Third,15.40204534,2955,0.164
"Pasco County, Florida",Third,15.40497896,12892,0.149
"Weld County, Colorado",Third,15.43309809,6363,0.153
"Charlotte County, Florida",Third,15.4373667,3208,0.15
"Delaware County, Indiana",Third,15.54410191,3820,0.129
"Cape May County, New Jersey",Third,15.61489198,3770,0.132
"Penobscot County, Maine",Third,15.64388975,3585,0.138
"Montgomery County, Tennessee",Fourth,15.71040489,6247,0.16
"Shawnee County, Kansas",Fourth,15.73478874,7878,0.128
"Forsyth County, North Carolina",Fourth,15.78272747,18434,0.161
"Orleans Parish, Louisiana",Fourth,15.90720907,20564,0.165
"San Luis Obispo County, California",Fourth,16.0170604,6860,0.143
"Polk County, Iowa",Fourth,16.0266039,14919,0.162
"Cleveland County, Oklahoma",Fourth,16.03158765,9452,0.157
"Sangamon County, Illinois",Top Fifth,16.05680633,8784,0.168
"Hendricks County, Indiana",Top Fifth,16.0976325,3164,0.156
"Anchorage Municipality, Alaska",Top Fifth,16.13004686,14364,0.136
"Linn County, Iowa",Top Fifth,16.13246188,6591,0.145
"El Dorado County, California",Top Fifth,16.13510361,3547,0.139
"Kitsap County, Washington",Top Fifth,16.17479506,7909,0.127
"Thurston County, Washington",Top Fifth,16.20125342,7956,0.125
"Lafourche Parish, Louisiana",Lowest,14.20742563,2453,0.198
"Ector County, Texas",Lowest,14.34564752,7375,0.197
"Sutter County, California",Lowest,14.41004423,2680,0.18
"Richmond County, North Carolina",Lowest,14.54825676,2600,0.186
"Surry County, North Carolina",Lowest,14.59865458,2423,0.204
"Riverside County, California",Lowest,14.80026428,67694,0.205
"Jefferson County, Texas",Lowest,14.85295103,10924,0.176
"Tom Green County, Texas",Lowest,14.96645852,4603,0.215
"Sumter County, South Carolina",Second,15.10663903,4816,0.207
"Philadelphia County, Pennsylvania",Second,15.13840012,68761,0.175
"Buchanan County, Missouri",Second,15.1761471,4962,0.193
"Lauderdale County, Alabama",Second,15.18369545,2270,0.22
"Oswego County, New York",Second,15.208861,2640,0.185
"Wichita County, Texas",Second,15.22365512,5317,0.182
"Cambria County, Pennsylvania",Second,15.23169317,2707,0.179
"Lake County, Florida",Second,15.31025398,7955,0.183
"Kent County, Delaware",Second,15.3225993,5428,0.178
"Kane County, Illinois",Second,15.33210473,7563,0.19
"Stark County, Ohio",Third,15.41233843,11288,0.172
"Tarrant County, Texas",Third,15.44632188,71745,0.214
"Volusia County, Florida",Third,15.48244682,17894,0.222
"Clay County, Florida",Third,15.60784066,4649,0.211
"Cumberland County, North Carolina",Fourth,15.68406641,17231,0.196
"Cook County, Illinois",Fourth,15.69891544,163071,0.216
"Sedgwick County, Kansas",Fourth,15.70503049,23268,0.189
"Tazewell County, Illinois",Fourth,15.70833422,2427,0.201
"Porter County, Indiana",Fourth,15.71132908,2344,0.209
"Benton County, Washington",Fourth,15.74256604,4849,0.203
"St. Louis city, Missouri",Fourth,15.78018539,25649,0.171
"Anoka County, Minnesota",Fourth,15.88686704,8361,0.174
"Jefferson County, Alabama",Fourth,15.89569533,33747,0.187
"Coconino County, Arizona",Fourth,15.9948333,4879,0.2
"Hillsborough County, New Hampshire",Top Fifth,16.06605197,9289,0.212
"Denton County, Texas",Top Fifth,16.26866771,14359,0.208
"Multnomah County, Oregon",Top Fifth,16.31520619,43289,0.218
"Alachua County, Florida",Top Fifth,16.56829232,9091,0.219
"Morris County, New Jersey",Top Fifth,16.73049602,4970,0.191
"Williamson County, Tennessee",Top Fifth,17.08614443,2475,0.194
"Franklin County, Washington",Lowest,13.90142313,1862,0.263
"Edgecombe County, North Carolina",Lowest,14.36516338,2071,0.238
"Darlington County, South Carolina",Lowest,14.71172958,3797,0.259
"Dyer County, Tennessee",Lowest,14.88145944,2006,0.245
"Colleton County, South Carolina",Lowest,14.88719208,1859,0.267
"Gaston County, North Carolina",Second,15.06173598,6609,0.225
"Bristol County, Massachusetts",Second,15.08407654,14496,0.24
"Wayne County, Ohio",Second,15.09562322,1963,0.25
"Clark County, Ohio",Second,15.20596848,6162,0.243
"Berkeley County, West Virginia",Second,15.24959947,2062,0.241
"Mason County, Washington",Second,15.25091747,2201,0.226
"Taney County, Missouri",Second,15.30135544,1911,0.255
"Portsmouth city, Virginia",Second,15.30414507,5460,0.273
"Coos County, Oregon",Third,15.38398335,2164,0.232
"Lee County, Florida",Third,15.39052282,15855,0.248
"Sacramento County, California",Third,15.45186299,47698,0.272
"Lackawanna County, Pennsylvania",Third,15.49443814,4330,0.23
"Iredell County, North Carolina",Third,15.50639044,4153,0.237
"Chemung County, New York",Fourth,15.67798407,2153,0.233
"Hancock County, Ohio",Fourth,15.69442491,1843,0.269
"Spotsylvania County, Virginia",Fourth,15.69919614,2200,0.227
"Dubuque County, Iowa",Fourth,15.7786742,1908,0.256
"Cuyahoga County, Ohio",Fourth,15.79856016,39068,0.266
"Summit County, Ohio",Fourth,15.80442618,17049,0.236
"Kent County, Michigan",Fourth,15.82490829,14935,0.234
"Hays County, Texas",Fourth,15.89423614,3889,0.252
"Wright County, Minnesota",Fourth,15.91715649,1919,0.254
"Medina County, Ohio",Fourth,15.93610139,1868,0.262
"Chesapeake city, Virginia",Fourth,15.94465109,7444,0.265
"Moore County, North Carolina",Fourth,15.99371135,2015,0.244
"Grand Forks County, North Dakota",Top Fifth,16.2048847,1963,0.25
"Scott County, Minnesota",Top Fifth,16.30307658,2181,0.229
"Allegheny County, Pennsylvania",Top Fifth,16.32068037,29394,0.27
"St. Johns County, Florida",Top Fifth,16.53418865,4419,0.223
"Somerset County, New Jersey",Top Fifth,16.85857725,4010,0.247
"Johnson County, Kansas",Top Fifth,16.999006,9478,0.261
"Washtenaw County, Michigan",Top Fifth,17.2392056,7632,0.256
"Fresno County, California",Lowest,14.11968691,37082,0.32
"Cumberland County, New Jersey",Lowest,14.24856699,6939,0.281
"Chesterfield County, South Carolina",Lowest,14.27908087,1649,0.305
"Lawrence County, Ohio",Lowest,14.87949556,1596,0.314
"Ross County, Ohio",Lowest,14.89629616,3245,0.308
"Lamar County, Texas",Lowest,14.92071352,1673,0.295
"Gregg County, Texas",Second,15.08838435,5349,0.277
"Madison County, Indiana",Second,15.15542055,3375,0.292
"Manitowoc County, Wisconsin",Second,15.27002962,1594,0.316
"Winnebago County, Illinois",Second,15.31179558,11213,0.312
"Mahoning County, Ohio",Third,15.4169055,8248,0.302
"Solano County, California",Third,15.43934455,15569,0.284
"Clinton County, Iowa",Third,15.44962997,1673,0.295
"Onslow County, North Carolina",Third,15.46556661,3416,0.288
"Cayuga County, New York",Third,15.48559463,1613,0.31
"Marion County, Indiana",Third,15.50385571,54434,0.303
"Niagara County, New York",Third,15.61591815,6230,0.319
"Frederick County, Virginia",Third,15.62408928,1696,0.291
"Allen County, Indiana",Third,15.62856827,10471,0.28
"Shelby County, Tennessee",Third,15.64925244,57816,0.301
"Orange County, California",Third,15.64938023,61011,0.306
"Williams County, North Dakota",Fourth,15.69332488,1788,0.276
"Rutherford County, Tennessee",Fourth,15.74846896,8100,0.309
"Crawford County, Kansas",Fourth,15.75147853,1725,0.285
"Outagamie County, Wisconsin",Fourth,15.76563219,3201,0.313
"Crow Wing County, Minnesota",Fourth,15.83403084,1569,0.317
"Humboldt County, California",Fourth,15.86145672,5272,0.279
"Clark County, Washington",Fourth,15.87349281,10389,0.283
"Clackamas County, Oregon",Top Fifth,16.18112,3356,0.294
"Kalamazoo County, Michigan",Top Fifth,16.32293117,8494,0.29
"El Paso County, Colorado",Top Fifth,16.3918471,22231,0.287
"Collin County, Texas",Top Fifth,16.6954315,16724,0.299
"Marin County, California",Top Fifth,17.04865141,5019,0.295
"Douglas County, Colorado",Top Fifth,17.28371352,3619,0.274
"Avoyelles Parish, Louisiana",Lowest,14.05436379,1401,0.356
"Atascosa County, Texas",Lowest,14.15355955,1445,0.341
"Cocke County, Tennessee",Lowest,14.24806877,1495,0.33
"Stanislaus County, California",Lowest,14.33073587,21385,0.349
"Anderson County, Texas",Lowest,14.67527067,1376,0.36
"San Bernardino County, California",Lowest,14.68992386,63059,0.346
"Wilson County, North Carolina",Lowest,14.71793147,2966,0.332
"Ashtabula County, Ohio",Lowest,14.82334302,1441,0.343
"Pickaway County, Ohio",Second,15.03468001,1501,0.324
"Smith County, Texas",Second,15.22236516,7096,0.353
"Grayson County, Texas",Second,15.33688513,2961,0.334
"Napa County, California",Third,15.41984513,2919,0.337
"Jackson County, Michigan",Third,15.44510603,4058,0.364
"Madison County, Tennessee",Third,15.54679482,4494,0.325
"Bossier Parish, Louisiana",Third,15.59357359,4369,0.338
"Warren County, New Jersey",Third,15.64116877,1533,0.321
"Brevard County, Florida",Fourth,15.82515402,17253,0.345
"Guilford County, North Carolina",Fourth,15.83506048,17687,0.335
"Isabella County, Michigan",Fourth,15.86925956,1340,0.367
"Worcester County, Massachusetts",Fourth,15.90780138,18780,0.342
"Clay County, Missouri",Fourth,15.92174694,2839,0.352
"Sussex County, New Jersey",Fourth,16.01091113,1429,0.348
"Spokane County, Washington",Top Fifth,16.03324129,29502,0.354
"Contra Costa County, California",Top Fifth,16.05851132,35882,0.328
"Buncombe County, North Carolina",Top Fifth,16.06129668,7103,0.35
"Chatham County, North Carolina",Top Fifth,16.06192819,1369,0.361
"Mercer County, New Jersey",Top Fifth,16.07609761,8044,0.366
"Hanover County, Virginia",Top Fifth,16.15528183,1390,0.357
"Travis County, Texas",Top Fifth,16.18062692,45530,0.359
"New Hanover County, North Carolina",Top Fifth,16.23979366,9127,0.323
"Santa Clara County, California",Top Fifth,16.33028531,47760,0.339
"Warren County, Ohio",Top Fifth,16.36003785,2675,0.37
"Utah County, Utah",Top Fifth,16.41833477,9487,0.363
"Saratoga County, New York",Top Fifth,16.44873618,2996,0.325
"Washington County, Minnesota",Top Fifth,16.58061259,5353,0.368
"Montgomery County, Virginia",Top Fifth,16.74979554,1494,0.331
"Yuma County, Arizona",Lowest,14.01868996,6008,0.407
"Lawrence County, Tennessee",Lowest,14.38576989,1264,0.389
"Polk County, Texas",Lowest,14.53480908,1236,0.399
"Chester County, South Carolina",Lowest,14.63073043,1245,0.392
"Fayette County, Ohio",Lowest,14.86303873,1183,0.41
"Hall County, Nebraska",Lowest,14.86538314,2620,0.375
"St. Joseph County, Michigan",Lowest,14.89092519,1240,0.396
"Rowan County, North Carolina",Second,15.00824808,3891,0.379
"Trumbull County, Ohio",Second,15.08676135,5160,0.383
"Atlantic County, New Jersey",Second,15.23684126,9184,0.374
"Androscoggin County, Maine",Third,15.35280481,2474,0.397
"Essex County, New Jersey",Third,15.44450939,23492,0.378
"Georgetown County, South Carolina",Third,15.4684169,2385,0.408
"Newport News city, Virginia",Third,15.5821741,6480,0.381
"Butte County, California",Third,15.5849233,7309,0.403
"Jackson County, Oregon",Third,15.63515404,9063,0.382
"Berrien County, Michigan",Third,15.64738689,3728,0.393
"Hamilton County, Tennessee",Third,15.65635826,17277,0.371
"Ohio County, West Virginia",Fourth,15.74361257,1223,0.401
"Washington County, Tennessee",Fourth,15.76495432,3624,0.406
"Yavapai County, Arizona",Fourth,15.7928828,3835,0.388
"Yellowstone County, Montana",Fourth,15.87811433,6266,0.39
"Pennington County, South Dakota",Fourth,15.95435811,3704,0.4
"Virginia Beach city, Virginia",Top Fifth,16.18848637,10543,0.372
"La Crosse County, Wisconsin",Top Fifth,16.21367211,2559,0.386
"McLean County, Illinois",Top Fifth,16.5254008,3724,0.395
"York County, Virginia",Top Fifth,16.61495714,1218,0.404
"Delaware County, Ohio",Top Fifth,16.93948892,2561,0.385
"Benton County, Oregon",Top Fifth,17.24448111,2620,0.375
"DeSoto County, Florida",Lowest,13.45293204,1109,0.43
"Hamblen County, Tennessee",Lowest,14.59251406,2242,0.425
"Gallia County, Ohio",Lowest,14.71762992,1067,0.444
"Upshur County, Texas",Lowest,14.83515308,1154,0.414
"Lawrence County, Missouri",Lowest,14.9091408,1112,0.428
"Lake County, California",Second,15.03085111,2139,0.44
"Sullivan County, Tennessee",Second,15.1712313,5451,0.436
"Maury County, Tennessee",Second,15.23763538,2321,0.411
"Loudon County, Tennessee",Second,15.26237104,1146,0.418
"Shiawassee County, Michigan",Third,15.35543677,1126,0.422
"Ventura County, California",Third,15.37610838,18702,0.435
"Macomb County, Michigan",Third,15.46079355,18161,0.441
National ,Third,15.5,9009,0.437
"Mesa County, Colorado",Third,15.67564188,4413,0.433
"Butler County, Ohio",Fourth,15.67929709,13337,0.429
"Montgomery County, Ohio",Fourth,15.72063362,20648,0.417
"Bernalillo County, New Mexico",Fourth,15.85714286,39078,0.415
"New Haven County, Connecticut",Fourth,15.87082774,24314,0.432
"Alameda County, California",Top Fifth,16.06470795,67976,0.426
"Harford County, Maryland",Top Fifth,16.07698331,4281,0.439
"Denver County, Colorado",Top Fifth,16.11463216,26652,0.446
"Rockwall County, Texas",Top Fifth,16.15647663,1155,0.412
"Burleigh County, North Dakota",Top Fifth,16.23005096,2136,0.443
"Washington County, Oregon",Top Fifth,16.24226396,10657,0.447
"Ada County, Idaho",Top Fifth,16.33526602,7994,0.419
"San Francisco County, California",Top Fifth,16.36318956,52758,0.424
"Sarpy County, Nebraska",Top Fifth,16.38488654,2269,0.421
"Barnwell County, South Carolina",Lowest,14.41159663,996,0.466
"Tipton County, Tennessee",Lowest,14.97440544,2003,0.459
"Richland County, Ohio",Second,15.08028854,5729,0.482
"Ionia County, Michigan",Second,15.08806674,1007,0.457
"Okmulgee County, Oklahoma",Second,15.1169232,964,0.477
"Marion County, Oregon",Second,15.13386373,11429,0.483
"Kankakee County, Illinois",Second,15.16475963,3000,0.462
"Twin Falls County, Idaho",Second,15.24372202,1994,0.465
"Polk County, Missouri",Second,15.26162732,1021,0.454
"Hampden County, Massachusetts",Second,15.31316422,16012,0.461
"Muskegon County, Michigan",Second,15.31645537,6907,0.469
"Hudson County, New Jersey",Third,15.4395991,13065,0.458
"Galveston County, Texas",Third,15.6344408,9911,0.468
"Pierce County, Washington",Fourth,15.69991614,35442,0.48
"Eaton County, Michigan",Fourth,15.82462821,1946,0.475
"Boone County, Kentucky",Fourth,15.98264506,2944,0.47
"Ramsey County, Minnesota",Fourth,16.03048115,19855,0.448
"Flathead County, Montana",Fourth,16.03213554,2878,0.479
"Buffalo County, Nebraska",Top Fifth,16.10647943,965,0.476
"St. Charles County, Missouri",Top Fifth,16.25657087,6099,0.455
"Williamson County, Texas",Top Fifth,16.25968004,9248,0.451
"Davis County, Utah",Top Fifth,16.36133542,5854,0.473
"Rockingham County, New Hampshire",Top Fifth,16.40993881,4881,0.472
"Newport County, Rhode Island",Top Fifth,16.51632502,1997,0.464
"Carver County, Minnesota",Top Fifth,16.61737251,1027,0.453
"Champaign County, Illinois",Top Fifth,16.78236113,6201,0.45
"Yakima County, Washington",Lowest,13.87917634,8833,0.5
"Wexford County, Michigan",Second,15.15372732,908,0.491
"Fremont County, Colorado",Second,15.22073275,907,0.493
"Jasper County, Iowa",Second,15.34867758,881,0.501
"Wood County, West Virginia",Third,15.37531058,1820,0.49
"Fond du Lac County, Wisconsin",Third,15.46835048,1801,0.494
"Stevens County, Washington",Third,15.47249839,900,0.495
"Lorain County, Ohio",Third,15.53402701,4617,0.486
"Cabell County, West Virginia",Third,15.57440522,3567,0.498
"St. Joseph County, Indiana",Third,15.63685592,9184,0.488
"Wilson County, Tennessee",Fourth,15.67758522,2695,0.497
"McHenry County, Illinois",Fourth,15.9963453,3510,0.502
"Westchester County, New York",Top Fifth,16.28164795,12070,0.484
"Ingham County, Michigan",Top Fifth,16.36829083,8266,0.487
"Washington County, Vermont",Top Fifth,16.37973385,870,0.504
"Sampson County, North Carolina",Lowest,14.22801035,1707,0.508
"Highland County, Ohio",Lowest,14.72119658,844,0.512
"Canyon County, Idaho",Lowest,14.86717421,5053,0.516
"Sebastian County, Arkansas",Lowest,14.88687972,5896,0.515
"Yuba County, California",Lowest,14.90295912,2431,0.523
"Manassas city, Virginia",Lowest,14.9229127,866,0.505
"Franklin County, Tennessee",Second,15.01470745,806,0.526
"Ashland County, Ohio",Second,15.11060653,845,0.511
"Mille Lacs County, Minnesota",Second,15.24519149,841,0.517
"Allegan County, Michigan",Second,15.33834036,1602,0.527
"Matanuska-Susitna Borough, Alaska",Third,15.64651985,822,0.52
"Jackson County, Missouri",Fourth,15.73137124,42940,0.524
"Kootenai County, Idaho",Fourth,15.82903579,4330,0.505
"Will County, Illinois",Fourth,15.89034739,9998,0.519
"Livingston County, Michigan",Top Fifth,16.22901426,1707,0.508
"Jefferson County, Washington",Top Fifth,16.48437309,843,0.513
"Alexandria city, Virginia",Top Fifth,17.16165897,3267,0.522
"Dickson County, Tennessee",Lowest,14.70922882,1559,0.535
"Sevier County, Tennessee",Lowest,14.93849593,3077,0.54
"Gibson County, Tennessee",Lowest,14.94920852,1568,0.533
"Madison County, Ohio",Second,15.02099131,799,0.529
"Madison County, Nebraska",Second,15.29879656,757,0.545
"Reno County, Kansas",Second,15.33861226,2263,0.546
"Sumner County, Tennessee",Third,15.52672781,3112,0.537
"Kennebec County, Maine",Third,15.64363876,3092,0.538
"Sonoma County, California",Fourth,15.69276447,10404,0.551
"Cumberland County, Pennsylvania",Fourth,15.89713915,3813,0.544
"Yolo County, California",Fourth,15.94164662,6264,0.534
"Hartford County, Connecticut",Fourth,15.94950979,22951,0.542
"Middlesex County, New Jersey",Fourth,15.98930032,13385,0.549
"Payne County, Oklahoma",Top Fifth,16.25228369,2361,0.531
"San Mateo County, California",Top Fifth,16.27310262,15747,0.548
"Tolland County, Connecticut",Top Fifth,16.37996433,767,0.541
"Johnson County, Iowa",Top Fifth,17.10659551,3186,0.53
"Clare County, Michigan",Lowest,14.76229471,695,0.58
"Darke County, Ohio",Lowest,14.92261536,691,0.584
"Branch County, Michigan",Lowest,14.95341605,715,0.567
"Hutchinson County, Texas",Second,15.05629326,707,0.573
"Roane County, Tennessee",Second,15.05979929,1421,0.569
"LaPorte County, Indiana",Second,15.16694569,2783,0.578
"Waynesboro city, Virginia",Second,15.30145956,693,0.582
"Washington County, Ohio",Second,15.30786626,694,0.581
"Miami County, Ohio",Third,15.39502296,2915,0.555
"Saline County, Kansas",Third,15.44285364,2171,0.559
"Windham County, Connecticut",Third,15.45841866,703,0.575
"Amador County, California",Third,15.47679677,710,0.57
"Franklin County, Kansas",Third,15.50409812,698,0.577
"Phelps County, Missouri",Third,15.50651548,1443,0.562
"Sullivan County, New Hampshire",Third,15.6678117,716,0.566
"Coles County, Illinois",Fourth,15.70774043,729,0.553
"San Diego County, California",Fourth,15.78969451,69635,0.564
"Berkshire County, Massachusetts",Fourth,15.91885318,2954,0.552
"Snohomish County, Washington",Fourth,15.93704798,27604,0.558
"New London County, Connecticut",Fourth,15.9517688,3611,0.56
"Washington County, Utah",Fourth,15.99069083,2764,0.584
"Geauga County, Ohio",Fourth,16.01953278,709,0.571
"Franklin County, Massachusetts",Top Fifth,16.26671628,1408,0.574
"Monmouth County, New Jersey",Top Fifth,16.36037188,11530,0.563
"Dakota County, Minnesota",Top Fifth,16.44394285,8722,0.556
"Garvin County, Oklahoma",Lowest,14.75289072,683,0.587
"Henderson County, Kentucky",Second,15.13805293,1344,0.592
"Wayne County, Michigan",Second,15.27383078,75031,0.603
"McClain County, Oklahoma",Second,15.298621,683,0.587
"Carbon County, Utah",Third,15.40549985,660,0.595
"Boyd County, Kentucky",Third,15.41474721,1341,0.593
"Tuolumne County, California",Third,15.54870497,1308,0.602
"Pitt County, North Carolina",Fourth,15.80302432,6125,0.591
"Litchfield County, Connecticut",Fourth,16.01637951,1977,0.598
"Ellis County, Kansas",Fourth,16.01701302,660,0.595
"Placer County, California",Top Fifth,16.35344391,7239,0.599
"Centre County, Pennsylvania",Top Fifth,16.50169011,1970,0.6
"Dane County, Wisconsin",Top Fifth,16.89318146,12282,0.589
"Finney County, Kansas",Lowest,14.09055465,1234,0.614
"San Jacinto County, Texas",Lowest,14.42656827,613,0.616
"Abbeville County, South Carolina",Lowest,14.6201909,642,0.606
"Los Angeles County, California",Lowest,14.81766976,260218,0.613
"Lincoln County, Oklahoma",Lowest,14.9568686,635,0.609
"Defiance County, Ohio",Second,15.14377342,645,0.604
"Mercer County, Ohio",Second,15.17281947,625,0.611
"Genesee County, Michigan",Third,15.4623152,13938,0.61
"Boone County, Missouri",Top Fifth,16.75412093,5743,0.607
"Shelby County, Texas",Lowest,14.26560117,584,0.632
"Le Flore County, Oklahoma",Lowest,14.72698261,1209,0.617
"Caddo County, Oklahoma",Lowest,14.90217224,596,0.624
"Robertson County, Tennessee",Second,15.08773544,1777,0.627
"Hillsdale County, Michigan",Second,15.09845622,577,0.64
"Nelson County, Kentucky",Second,15.16796325,596,0.624
"Logan County, Colorado",Second,15.21887564,604,0.618
"Polk County, Wisconsin",Third,15.46558587,573,0.645
"Maricopa County, Arizona",Third,15.63249688,140538,0.633
"Lincoln County, Oregon",Third,15.63843538,1737,0.636
"Hill County, Montana",Third,15.65349898,572,0.647
"Portage County, Ohio",Fourth,15.6949069,2987,0.622
"Stearns County, Minnesota",Fourth,15.72123285,4010,0.646
"Minnehaha County, South Dakota",Fourth,15.80057128,5220,0.635
"Santa Cruz County, California",Fourth,15.8578686,9260,0.638
"Radford city, Virginia",Fourth,15.95227911,587,0.631
"Hamilton County, Ohio",Fourth,16.02387216,34434,0.643
"Clay County, Minnesota",Top Fifth,16.11556661,1150,0.642
"Arapahoe County, Colorado",Top Fifth,16.30120249,17317,0.639
"Stafford County, Virginia",Top Fifth,16.3455741,2364,0.628
"Bergen County, New Jersey",Top Fifth,16.36018444,10603,0.629
